Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM
1157165.969,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157175.97,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157185.971,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157195.972,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157205.973,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157215.974,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157225.975,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157236.182,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157247.19,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157258.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157268.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157278.188,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157288.189,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157299.182,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157310.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157321.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157331.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157341.959,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157352.182,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157362.183,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1157373.19,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
